Strain,Dielectric Loss
0.8051777645232505,-1.8175090972484191,Montmorillonite/Nylon 6(3)T
12.12488852537355,49.4529399549215,Montmorillonite/Nylon 6(3)T
14.519012882516908,115.60308289508906,Montmorillonite/Nylon 6(3)T
17.97050356817207,344.36811433575286,Montmorillonite/Nylon 6(3)T
19.246164124897284,222.26541182057014,Montmorillonite/Nylon 6(3)T
5,7.925818245720603,titania/Nylon 6(3)T
7,8.128765266675106,titania/Nylon 6(3)T
13,8.101273577776002,titania/Nylon 6(3)T
17,4.464717889533363,titania/Nylon 6(3)T
19,4.833267326079599,titania/Nylon 6(3)T
8,3.696103414228327,MoS2/Nylon 6(3)T
13,3.6198247486320376,MoS2/Nylon 6(3)T
16,3.6086155269423426,MoS2/Nylon 6(3)T
17,3.6075645283668116,MoS2/Nylon 6(3)T
18,3.605393515007983,MoS2/Nylon 6(3)T
3.0100940244953667,4.997451418288746,TPP/Nylon 6(3)T
7.251140718976458,4.738870135440972,TPP/Nylon 6(3)T
12.250949079524908,4.517142217921348,TPP/Nylon 6(3)T
13.007444102405163,4.462613647178597,TPP/Nylon 6(3)T
13.51197791648861,4.446993374772085,TPP/Nylon 6(3)T
1,1.2497347064350817,single-walled CNTs/Nylon 6(3)T
5,0.9334820651279865,single-walled CNTs/Nylon 6(3)T
9,0.7676470961673819,single-walled CNTs/Nylon 6(3)T
10,0.7570288535477161,single-walled CNTs/Nylon 6(3)T
12,0.7282264557969514,single-walled CNTs/Nylon 6(3)T
