Incubation Temperature (°C),Fracture Toughness (MPa·m^0.5)
8.739153795963308,8.290915949524734,0.3% Poly(acrylonitrile)/VER
12.78392760651695,8.112292967812266,0.3% Poly(acrylonitrile)/VER
14.52720121358788,8.082562536949109,0.3% Poly(acrylonitrile)/VER
19.382757879248906,7.979345862771578,0.3% Poly(acrylonitrile)/VER
8.739153795963308,6.991744910405297,0.38% Poly(acrylonitrile)/VER
12.78392760651695,6.9392815978239595,0.38% Poly(acrylonitrile)/VER
14.52720121358788,6.930857694423236,0.38% Poly(acrylonitrile)/VER
19.382757879248906,6.920043259846794,0.38% Poly(acrylonitrile)/VER
8.739153795963308,3.4317095919887977,0.41% Poly(acrylonitrile)/VER
12.78392760651695,3.3025758839211377,0.41% Poly(acrylonitrile)/VER
14.52720121358788,3.2375537319663046,0.41% Poly(acrylonitrile)/VER
19.382757879248906,3.16519633488986,0.41% Poly(acrylonitrile)/VER
8.739153795963308,0.9917611729200879,0.64% Poly(acrylonitrile)/VER
12.78392760651695,0.8392643124261253,0.64% Poly(acrylonitrile)/VER
14.52720121358788,0.8226412927912495,0.64% Poly(acrylonitrile)/VER
19.382757879248906,0.7232900809529916,0.64% Poly(acrylonitrile)/VER
