Annealing Temperature (°C),Degradation Temperature (°C)
6.274472007856263,12.156549957245815,Calcium Carbonate/PEO
8.137896478679226,17.819728080978262,Calcium Carbonate/PEO
16.563637675873064,121.09840372419568,Calcium Carbonate/PEO
17.26684392682317,243.06753760243075,Calcium Carbonate/PEO
19.813670810511553,1621.7917403605477,Calcium Carbonate/PEO
6.274472007856263,2.1585734169399835,cellulose nanocrystal/PEO
8.137896478679226,1.9279863590189439,cellulose nanocrystal/PEO
16.563637675873064,1.7450491272449513,cellulose nanocrystal/PEO
17.26684392682317,1.7243745333771898,cellulose nanocrystal/PEO
19.813670810511553,1.684314835183587,cellulose nanocrystal/PEO
6.274472007856263,0.08233963818493262,SWNTs/PEO
8.137896478679226,11.223226350359496,SWNTs/PEO
16.563637675873064,260.15408364783355,SWNTs/PEO
17.26684392682317,277.59579155360046,SWNTs/PEO
19.813670810511553,376.3350922364689,SWNTs/PEO
6.274472007856263,-4.919654745273164,Multi-wall carbon nanotubes/PEO
8.137896478679226,-5.0417160143913,Multi-wall carbon nanotubes/PEO
16.563637675873064,-5.342982352297773,Multi-wall carbon nanotubes/PEO
17.26684392682317,-5.362621249909666,Multi-wall carbon nanotubes/PEO
19.813670810511553,-5.413250764126844,Multi-wall carbon nanotubes/PEO
6.274472007856263,7.262869632468503,Sepiolite/PEO
8.137896478679226,7.058286673988395,Sepiolite/PEO
16.563637675873064,6.856278419263704,Sepiolite/PEO
17.26684392682317,6.856870125365491,Sepiolite/PEO
19.813670810511553,6.8176271763773695,Sepiolite/PEO
