Light Intensity (W/m²),Electrical Resistivity (Ω·m)
0,1.1237796608519486,Na2TiO3/PAMS
1,1.21421273430762,Na2TiO3/PAMS
5,0.8456229570021057,Na2TiO3/PAMS
7,0.7530685793327474,Na2TiO3/PAMS
12,0.5097658633170692,Na2TiO3/PAMS
15,0.43409961132063746,Na2TiO3/PAMS
0,7.221038066138806,Cellulose/PAMS
1,7.099843594074084,Cellulose/PAMS
5,6.564980829502259,Cellulose/PAMS
7,6.459296238134615,Cellulose/PAMS
12,6.342393795587559,Cellulose/PAMS
15,6.327797896407125,Cellulose/PAMS
0,-4.196695626901857,graphene platelets/PAMS
1,-4.394866090824939,graphene platelets/PAMS
5,-5.02135515655263,graphene platelets/PAMS
7,-5.122382430361969,graphene platelets/PAMS
12,-5.241797013287111,graphene platelets/PAMS
15,-5.258108177847998,graphene platelets/PAMS
0,3.1270131086100257,high abrasion furnace black/PAMS
1,3.3236309404980364,high abrasion furnace black/PAMS
5,3.1984765501417587,high abrasion furnace black/PAMS
7,2.9704986181735613,high abrasion furnace black/PAMS
12,2.6576583161535225,high abrasion furnace black/PAMS
15,2.6104572310237053,high abrasion furnace black/PAMS
0,-4.735752205276488,sodium montmorillonite/PAMS
1,-5.111872028440299,sodium montmorillonite/PAMS
5,-5.541007192402908,sodium montmorillonite/PAMS
7,-5.610979388698305,sodium montmorillonite/PAMS
12,-5.707267437858543,sodium montmorillonite/PAMS
15,-5.725270651977566,sodium montmorillonite/PAMS
