Evaporation Temperature (°C),Reduction Potential (V)
6,7.6978894072268655,0.3% Silicon carbide/Polystyrene
9,7.609728343799017,0.3% Silicon carbide/Polystyrene
13,7.55231606277012,0.3% Silicon carbide/Polystyrene
6,6.830897979591667,0.63% Silicon carbide/Polystyrene
9,5.764692451742111,0.63% Silicon carbide/Polystyrene
13,8.986799884427668,0.63% Silicon carbide/Polystyrene
6,7.698511210332107,0.16% Silicon carbide/Polystyrene
9,7.646427174474084,0.16% Silicon carbide/Polystyrene
13,8.809794363994774,0.16% Silicon carbide/Polystyrene
6,7.331918571919737,0.94% Silicon carbide/Polystyrene
9,7.383205512645134,0.94% Silicon carbide/Polystyrene
13,10.379705020166869,0.94% Silicon carbide/Polystyrene
