Particle Diameter (nm),Ionic Conductivity (S/m)
2.3023614666700976,0.8539735553766774,0.01% Silicon carbide/Poly(acrylic acid)
2.374783574571675,2.0187241049469526,0.01% Silicon carbide/Poly(acrylic acid)
2.525430404638529,0.039265178201657536,0.01% Silicon carbide/Poly(acrylic acid)
4.202121638279257,0.49293435521837825,0.01% Silicon carbide/Poly(acrylic acid)
13.026748255441628,62.06905278569261,0.01% Silicon carbide/Poly(acrylic acid)
2.3023614666700976,-5.059698338826925,0.91% Silicon carbide/Poly(acrylic acid)
2.374783574571675,-4.813769100127779,0.91% Silicon carbide/Poly(acrylic acid)
2.525430404638529,-4.754924772685865,0.91% Silicon carbide/Poly(acrylic acid)
4.202121638279257,-5.031960602035338,0.91% Silicon carbide/Poly(acrylic acid)
13.026748255441628,-5.434689346681625,0.91% Silicon carbide/Poly(acrylic acid)
2.3023614666700976,1.991487329524275,0.59% Silicon carbide/Poly(acrylic acid)
2.374783574571675,1.9394096748206255,0.59% Silicon carbide/Poly(acrylic acid)
2.525430404638529,2.130288277983383,0.59% Silicon carbide/Poly(acrylic acid)
4.202121638279257,1.8073021832472207,0.59% Silicon carbide/Poly(acrylic acid)
13.026748255441628,1.5472382144015595,0.59% Silicon carbide/Poly(acrylic acid)
