Thermal Diffusivity (mm²/s),Poisson’s Ratio
0.3533945860836951,-0.4087975227406875,0.69% Silicon carbide
3.770480035963575,0.16625890129715604,0.69% Silicon carbide
10.763008668661143,-0.5428050990468893,0.69% Silicon carbide
16.864575247178106,3.639063559468089,0.69% Silicon carbide
19.94793669927215,8.438114843959196,0.69% Silicon carbide
0.3533945860836951,-0.5596949712924668,0.93% Silicon carbide
3.770480035963575,1.075226058875809,0.93% Silicon carbide
10.763008668661143,27.97723986856426,0.93% Silicon carbide
16.864575247178106,-182.27239592797343,0.93% Silicon carbide
19.94793669927215,73.89997162141032,0.93% Silicon carbide
