Pore Size (nm),Loss Factor
0.6343041150542073,-3.1463320580743686,Acrylonitrile butadiene styrene
7.822183793548783,-3.6115845322325235,Acrylonitrile butadiene styrene
11.22277996818804,-3.6828813285350988,Acrylonitrile butadiene styrene
18.150030371075143,-3.866631332685872,Acrylonitrile butadiene styrene
0.6343041150542073,-5.8616895090749495,Poly(2-vinyl pyridine)
7.822183793548783,-6.111039536029355,Poly(2-vinyl pyridine)
11.22277996818804,-6.242995691815843,Poly(2-vinyl pyridine)
18.150030371075143,-6.4078390729360235,Poly(2-vinyl pyridine)
0.6343041150542073,1.8281474382993985,PB
7.822183793548783,1.4069765138028574,PB
11.22277996818804,1.2685717969357198,PB
18.150030371075143,1.079776268482056,PB
0.6343041150542073,-5.330519267517518,Poly(styrene-b-butadiene)
7.822183793548783,-1.0607808681204034,Poly(styrene-b-butadiene)
11.22277996818804,54.859021436027255,Poly(styrene-b-butadiene)
18.150030371075143,-47.09554684488421,Poly(styrene-b-butadiene)
0.6343041150542073,7.205203816094084,PVC
7.822183793548783,6.855877835165481,PVC
11.22277996818804,6.730726316837548,PVC
18.150030371075143,6.567304241658268,PVC
