Specific Heat Capacity (J/(g·K)),Coefficient Of Thermal Expansion (1/K)
2.999799666130878,0.04567324269712514,
8.01356583804762,-0.2865667898520867,
19.169432883447534,-0.3906161549155377,
3.143774349481885,1.6416825561148216,
3.550812920647346,1.6986072084885404,
12.336846110886807,1.3134821681869364,
15.775634118010103,6.837844739608027,
19.54426780184465,2.3462850277153207,
19.866191032474834,9.669578307736508,
1,7.49253237045625,
4,6.93456814321895,
19,6.54743161092862,
0,-6.798046656901162,
11,-7.444639290945607,
17,-7.565125767648728,
