Synthesis Temperature (°C),Zero-shear Viscosity (Pa·s)
13,-7.574669596171436,C.I. Pigment Black 6/UPR
15,-7.644842262299026,C.I. Pigment Black 6/UPR
17,-7.673678037046906,C.I. Pigment Black 6/UPR
13,6.056298456915612,multi-walled carbon nanotube/UPR
15,5.981543497486655,multi-walled carbon nanotube/UPR
17,5.954631104722749,multi-walled carbon nanotube/UPR
13,-3.705186462992268,Magnesium oxide/UPR
15,72.3467691144375,Magnesium oxide/UPR
17,189.7308604407155,Magnesium oxide/UPR
13,40.84709409073969,Aluminium/UPR
15,-29.671163106408834,Aluminium/UPR
17,277.68523665371106,Aluminium/UPR
13,0.013447020680267485,Graphite oxide/UPR
15,-0.065250925084193,Graphite oxide/UPR
17,-0.0958408152838072,Graphite oxide/UPR
