Dielectric Constant,Hysteresis Loss (J/m³)
4,-0.5437317468232679,expandable graphite/PTFCE
9,-0.7526167609687748,expandable graphite/PTFCE
15,-0.808355972062594,expandable graphite/PTFCE
16,-0.8124438633768735,expandable graphite/PTFCE
18,-0.8154706858296163,expandable graphite/PTFCE
4,7.531858257980651,Silver nitrate/PTFCE
9,19.997182166948527,Silver nitrate/PTFCE
15,-71.26551221816982,Silver nitrate/PTFCE
16,158.11943229898648,Silver nitrate/PTFCE
18,99.38832184857435,Silver nitrate/PTFCE
4,-4.903101657521442,TiO2/PTFCE
9,-5.320854998573489,TiO2/PTFCE
15,-2.7518736884836237,TiO2/PTFCE
16,0.6733505321683282,TiO2/PTFCE
18,11.682237825990079,TiO2/PTFCE
4,7.801476287050832,silica gel/PTFCE
9,16.59968886736105,silica gel/PTFCE
15,126.76219847173284,silica gel/PTFCE
16,287.7910998504063,silica gel/PTFCE
18,-436.75144394238566,silica gel/PTFCE
4,3.384192278077301,MWNT/PTFCE
9,4.263106526004805,MWNT/PTFCE
15,5.697118136115002,MWNT/PTFCE
16,4.314794831520228,MWNT/PTFCE
18,7.808362956607142,MWNT/PTFCE
