Thermal Diffusivity (mm²/s),Kinematic Viscosity (mm²/s)
3.585979827780128,3.6656293719112334,0.45% Zinc Oxide/Poly(butylene)
4.928193698331778,3.677346383023467,0.45% Zinc Oxide/Poly(butylene)
6.34909823444193,3.518447962722506,0.45% Zinc Oxide/Poly(butylene)
15.315930533670322,3.279139482657835,0.45% Zinc Oxide/Poly(butylene)
3.585979827780128,8.33533579590873,0.56% Zinc Oxide/Poly(butylene)
4.928193698331778,8.149784499205275,0.56% Zinc Oxide/Poly(butylene)
6.34909823444193,8.080470816258526,0.56% Zinc Oxide/Poly(butylene)
15.315930533670322,7.941988624343274,0.56% Zinc Oxide/Poly(butylene)
3.585979827780128,5.055279382843934,0.79% Zinc Oxide/Poly(butylene)
4.928193698331778,4.976289122947465,0.79% Zinc Oxide/Poly(butylene)
6.34909823444193,4.844483512131155,0.79% Zinc Oxide/Poly(butylene)
15.315930533670322,4.716210502662046,0.79% Zinc Oxide/Poly(butylene)
3.585979827780128,7.924991141879173,0.23% Zinc Oxide/Poly(butylene)
4.928193698331778,7.926827099635263,0.23% Zinc Oxide/Poly(butylene)
6.34909823444193,7.825548747199711,0.23% Zinc Oxide/Poly(butylene)
15.315930533670322,7.51962825685878,0.23% Zinc Oxide/Poly(butylene)
