Film Thickness (µm),Peel Strength (N/m)
6.564976993732321,9.489707051753872,0.94% MoS2/aPP
16.61250654547218,24.339806490995258,0.94% MoS2/aPP
16.946142270811087,10.132296343887786,0.94% MoS2/aPP
17.654260226184412,23.011885955549296,0.94% MoS2/aPP
18.944602661687185,1.161220781195512,0.94% MoS2/aPP
6.564976993732321,-0.7025121508683418,0.89% MoS2/aPP
16.61250654547218,-0.9720039815803747,0.89% MoS2/aPP
16.946142270811087,3.7834447641684594,0.89% MoS2/aPP
17.654260226184412,10.712231258366275,0.89% MoS2/aPP
18.944602661687185,16.504028822397892,0.89% MoS2/aPP
6.564976993732321,5.099840811818868,0.58% MoS2/aPP
16.61250654547218,16.069814755265256,0.58% MoS2/aPP
16.946142270811087,2.1572519791875484,0.58% MoS2/aPP
17.654260226184412,8.058542689771787,0.58% MoS2/aPP
18.944602661687185,3.0663026393902424,0.58% MoS2/aPP
6.564976993732321,-4.242480560128976,0.19% MoS2/aPP
16.61250654547218,3.5281156216539618,0.19% MoS2/aPP
16.946142270811087,-2.683933105197756,0.19% MoS2/aPP
17.654260226184412,-11.414722689156534,0.19% MoS2/aPP
18.944602661687185,8.28099261904053,0.19% MoS2/aPP
