Mixing Time (min),Tensile Modulus (GPa)
1.4518072903476154,4.777066239538863,0.99% Graphene
4.304023493354753,4.263640590771186,0.99% Graphene
13.09860990986053,3.8678759355876795,0.99% Graphene
17.699703791726083,3.7733177884748,0.99% Graphene
18.308686333645607,3.76496450165704,0.99% Graphene
1.4518072903476154,-0.7104536331693881,0.4% Graphene
4.304023493354753,-1.1453694337095564,0.4% Graphene
13.09860990986053,-1.3817818062046061,0.4% Graphene
17.699703791726083,-1.3959680195936468,0.4% Graphene
18.308686333645607,-1.396284165345496,0.4% Graphene
1.4518072903476154,-0.4376375985937937,0.17% Graphene
4.304023493354753,1.2168976973788443,0.17% Graphene
13.09860990986053,73.10295273738248,0.17% Graphene
17.699703791726083,-405.48685442744704,0.17% Graphene
18.308686333645607,97.72243730780126,0.17% Graphene
1.4518072903476154,3.0382175132958453,0.59% Graphene
4.304023493354753,2.7332355706902387,0.59% Graphene
13.09860990986053,2.4903795203074606,0.59% Graphene
17.699703791726083,2.4756693563536403,0.59% Graphene
18.308686333645607,2.474953635398083,0.59% Graphene
