Pore Size (nm),Magnetic Permeability (H/m)
1.9659869657748175,3.978998991077047,rGO/Polybenzimidazole
6.558578189177666,11.473532277637434,rGO/Polybenzimidazole
10.448373883671954,7.047424178058844,rGO/Polybenzimidazole
11.55507605752865,31.276322468323716,rGO/Polybenzimidazole
19.460194903359284,384.8353283055867,rGO/Polybenzimidazole
1.9659869657748175,0.8316570911826449,graphite nanoplatelets/Polybenzimidazole
6.558578189177666,2.10363991623495,graphite nanoplatelets/Polybenzimidazole
10.448373883671954,1.3929858506465298,graphite nanoplatelets/Polybenzimidazole
11.55507605752865,4.780565223635779,graphite nanoplatelets/Polybenzimidazole
19.460194903359284,-5.302663755679254,graphite nanoplatelets/Polybenzimidazole
1.9659869657748175,-0.38247829163339286,ZnO/Polybenzimidazole
6.558578189177666,-1.0028712118621899,ZnO/Polybenzimidazole
10.448373883671954,-2.1780004302282987,ZnO/Polybenzimidazole
11.55507605752865,-2.549904493562312,ZnO/Polybenzimidazole
19.460194903359284,10.493402344421048,ZnO/Polybenzimidazole
1.9659869657748175,-0.4676455872014047,Barium titanate/Polybenzimidazole
6.558578189177666,-0.973267953273527,Barium titanate/Polybenzimidazole
10.448373883671954,-1.0685289796819208,Barium titanate/Polybenzimidazole
11.55507605752865,-1.0754918933434623,Barium titanate/Polybenzimidazole
19.460194903359284,-1.1048020251963035,Barium titanate/Polybenzimidazole
