Particle Size (nm),Toughness (MJ/m³)
0.5134294728696109,2.3307977582342074,Al2O3/Nylon 66
1.5291703435481119,2.3700624159470784,Al2O3/Nylon 66
9.491801736911894,1.9564756058772406,Al2O3/Nylon 66
9.622434304858807,1.965045882594663,Al2O3/Nylon 66
15.208291212103235,1.7784124262716414,Al2O3/Nylon 66
0.5134294728696109,-5.905299108103363,Calcium carbonate/Nylon 66
1.5291703435481119,-6.163675932497277,Calcium carbonate/Nylon 66
9.491801736911894,-6.719936640710702,Calcium carbonate/Nylon 66
9.622434304858807,-6.71347316627032,Calcium carbonate/Nylon 66
15.208291212103235,-6.7609311886697485,Calcium carbonate/Nylon 66
0.5134294728696109,-6.642217304905362,ZrO2/Nylon 66
1.5291703435481119,-6.4521168464697105,ZrO2/Nylon 66
9.491801736911894,-4.219521339967304,ZrO2/Nylon 66
9.622434304858807,-5.709511643188041,ZrO2/Nylon 66
15.208291212103235,-6.844451681016505,ZrO2/Nylon 66
0.5134294728696109,-2.0992965282954534,montmorillonite K-10/Nylon 66
1.5291703435481119,-2.4098973575484735,montmorillonite K-10/Nylon 66
9.491801736911894,-3.05717747469792,montmorillonite K-10/Nylon 66
9.622434304858807,-3.0623238434258475,montmorillonite K-10/Nylon 66
15.208291212103235,-3.10514131721622,montmorillonite K-10/Nylon 66
0.5134294728696109,-3.8099760306482207,SAF/Nylon 66
1.5291703435481119,-4.013887552168448,SAF/Nylon 66
9.491801736911894,-4.645011443536625,SAF/Nylon 66
9.622434304858807,-4.652106129072716,SAF/Nylon 66
15.208291212103235,-4.691576602149439,SAF/Nylon 66
