Mechanical Strength (MPa),Coercivity (A/m)
3,-6.476026604269309,0.45% Titanium Dioxide/P(VDF-TrFE-CTFE)
4,-6.099799257461546,0.45% Titanium Dioxide/P(VDF-TrFE-CTFE)
10,-5.871173970779093,0.45% Titanium Dioxide/P(VDF-TrFE-CTFE)
11,-5.068137238391485,0.45% Titanium Dioxide/P(VDF-TrFE-CTFE)
13,-3.3064238276039983,0.45% Titanium Dioxide/P(VDF-TrFE-CTFE)
3,3.0776541204294396,0.48% Titanium Dioxide/P(VDF-TrFE-CTFE)
4,2.92176571876989,0.48% Titanium Dioxide/P(VDF-TrFE-CTFE)
10,2.6990024833082193,0.48% Titanium Dioxide/P(VDF-TrFE-CTFE)
11,2.6840694911544567,0.48% Titanium Dioxide/P(VDF-TrFE-CTFE)
13,2.667021798617393,0.48% Titanium Dioxide/P(VDF-TrFE-CTFE)
3,5.126460758288367,0.87% Titanium Dioxide/P(VDF-TrFE-CTFE)
4,5.118139408392055,0.87% Titanium Dioxide/P(VDF-TrFE-CTFE)
10,4.865848826627816,0.87% Titanium Dioxide/P(VDF-TrFE-CTFE)
11,4.845990517763698,0.87% Titanium Dioxide/P(VDF-TrFE-CTFE)
13,4.832796629786199,0.87% Titanium Dioxide/P(VDF-TrFE-CTFE)
