Heat Capacity (J/K),Hysteresis Loss (J/m³)
2.8716840966920687,-4.848278592595771,PMMA
4.897754539009405,-3.233375461860254,PMMA
9.569750901113425,-4.92287585077013,PMMA
13.562038525432138,-0.8390958604530026,PMMA
17.497429136698685,5.247856014665091,PMMA
2.8716840966920687,8.977821099272196,Bisphenol E cyanate ester resin
4.897754539009405,9.50818680427376,Bisphenol E cyanate ester resin
9.569750901113425,11.448290053496432,Bisphenol E cyanate ester resin
13.562038525432138,8.908901256882686,Bisphenol E cyanate ester resin
17.497429136698685,5.0532979013533295,Bisphenol E cyanate ester resin
2.8716840966920687,-1.3923933351396585,Polybutadiene
4.897754539009405,-2.1194571132992173,Polybutadiene
9.569750901113425,23.259697909217252,Polybutadiene
13.562038525432138,-13.266337281024711,Polybutadiene
17.497429136698685,143.73906371147962,Polybutadiene
2.8716840966920687,3.6245837357112305,Polyetherketoneketone
4.897754539009405,6.771263338670458,Polyetherketoneketone
9.569750901113425,21.953307678154296,Polyetherketoneketone
13.562038525432138,100.00882322114495,Polyetherketoneketone
17.497429136698685,376.7058439697077,Polyetherketoneketone
2.8716840966920687,10.75381275928794,Sodium polyacrylate
4.897754539009405,12.680286387163132,Sodium polyacrylate
9.569750901113425,34.495616251636605,Sodium polyacrylate
13.562038525432138,3.43773452545436,Sodium polyacrylate
17.497429136698685,467.54428945820985,Sodium polyacrylate
