Temperature (°C),Hardness (HV)
3.8285444062519303,8.466700392942402,0.47% GO/Cyclic olefin copolymer
5.710360344791862,10.073868623384353,0.47% GO/Cyclic olefin copolymer
8.428317817629726,7.976450690459522,0.47% GO/Cyclic olefin copolymer
14.369441225227302,157.94672799696457,0.47% GO/Cyclic olefin copolymer
3.8285444062519303,4.186082015771446,0.55% GO/Cyclic olefin copolymer
5.710360344791862,4.134297880869256,0.55% GO/Cyclic olefin copolymer
8.428317817629726,4.107408555394765,0.55% GO/Cyclic olefin copolymer
14.369441225227302,3.8989148819930026,0.55% GO/Cyclic olefin copolymer
3.8285444062519303,-1.6083086585387973,0.62% GO/Cyclic olefin copolymer
5.710360344791862,-2.482542535327836,0.62% GO/Cyclic olefin copolymer
8.428317817629726,-0.7869363673740373,0.62% GO/Cyclic olefin copolymer
14.369441225227302,3.5431321563507137,0.62% GO/Cyclic olefin copolymer
3.8285444062519303,-2.9654170905580797,0.99% GO/Cyclic olefin copolymer
5.710360344791862,-3.99490052567217,0.99% GO/Cyclic olefin copolymer
8.428317817629726,-2.8388619676480022,0.99% GO/Cyclic olefin copolymer
14.369441225227302,-6.136674762789668,0.99% GO/Cyclic olefin copolymer
3.8285444062519303,-0.8714692549464065,0.88% GO/Cyclic olefin copolymer
5.710360344791862,0.07627323170844758,0.88% GO/Cyclic olefin copolymer
8.428317817629726,0.7969499739592507,0.88% GO/Cyclic olefin copolymer
14.369441225227302,1.9857780023295248,0.88% GO/Cyclic olefin copolymer
