Ultrasound Power (W),Tg (°C)
0.9299808451395064,-4.718038131194998,PVP
4.973943519070454,-5.531447145115345,PVP
6.716825444559915,-5.57426359341016,PVP
13.87343658187941,-5.691188637263758,PVP
0.9299808451395064,3.3059835951449403,Polybutadiene
4.973943519070454,3.059595997917138,Polybutadiene
6.716825444559915,2.8907337154797363,Polybutadiene
13.87343658187941,2.6495660201650293,Polybutadiene
0.9299808451395064,8.209233846549886,Poly(2-hydroxyethyl acrylate)
4.973943519070454,8.066119087969806,Poly(2-hydroxyethyl acrylate)
6.716825444559915,7.876587453353464,Poly(2-hydroxyethyl acrylate)
13.87343658187941,7.650285053793901,Poly(2-hydroxyethyl acrylate)
0.9299808451395064,0.647678569237419,PMS
4.973943519070454,0.8582836372535894,PMS
6.716825444559915,2.5449679157298837,PMS
13.87343658187941,-0.6139139297124574,PMS
0.9299808451395064,6.934001579624635,PRX
4.973943519070454,6.58222635505291,PRX
6.716825444559915,6.54150893540386,PRX
13.87343658187941,6.323862095823793,PRX
