Loading Concentration (%),Bulk Modulus (GPa)
3,2.892126307430942,PA 6T
4,3.509310677995705,PA 6T
10,5.011145781957246,PA 6T
13,5.05254207936702,PA 6T
16,7.223602489357985,PA 6T
3,6.871145398238285,PVAL
4,7.044832681477746,PVAL
10,6.513833396989557,PVAL
13,6.4376695478684995,PVAL
16,6.376683956809971,PVAL
3,1.9155607798499334,iPP
4,1.9201274194796412,iPP
10,1.6291530210310783,iPP
13,1.5490952214438516,iPP
16,1.4570849948735038,iPP
3,-5.920566759700755,PA 11
4,-6.190904988739201,PA 11
10,-6.5907572518436375,PA 11
13,-9.485166705443618,PA 11
16,-4.3878556020405135,PA 11
