Softening Temperature (°C),Flexural Modulus (GPa)
0,-0.08626159008354017,calcium copper titanate/Poly(2-vinyl pyridine)
2,-0.33071771900096447,calcium copper titanate/Poly(2-vinyl pyridine)
7,1.6301102763172688,calcium copper titanate/Poly(2-vinyl pyridine)
14,-5.171950113959552,calcium copper titanate/Poly(2-vinyl pyridine)
15,-4.448262505815792,calcium copper titanate/Poly(2-vinyl pyridine)
17,12.796591166719576,calcium copper titanate/Poly(2-vinyl pyridine)
0,-5.7965774776118835,Al2O3/Poly(2-vinyl pyridine)
2,-6.024591727972669,Al2O3/Poly(2-vinyl pyridine)
7,-6.458748941607347,Al2O3/Poly(2-vinyl pyridine)
14,-6.69610847812897,Al2O3/Poly(2-vinyl pyridine)
15,-6.727704837077446,Al2O3/Poly(2-vinyl pyridine)
17,-6.785240865022969,Al2O3/Poly(2-vinyl pyridine)
