Temperature (°C),Poisson’s Ratio
7,1.4557442270278016,PBTP
10,1.2887079167490203,PBTP
11,1.253029071695768,PBTP
7,-1.9149394575665597,Nylon 11
10,2.0634990845651213,Nylon 11
11,0.233655189072558,Nylon 11
7,-2.1754044360268128,PVOH
10,-2.2684650915411346,PVOH
11,-2.293670594338465,PVOH
7,-1.9169056015602939,PEEK
10,-1.9907558910085512,PEEK
11,-1.9998547917502385,PEEK
7,4.029907441118699,Poly-trifluoroethylene
10,3.9810191159344672,Poly-trifluoroethylene
11,3.9695387811396867,Poly-trifluoroethylene
