Dispersing Time (min),Crystallization Temperature (°C)
1.0505069333276595,-0.07785723689659396,FKM
7.846935916990557,-0.7191187471055092,FKM
12.187974156796695,-0.8970509190678116,FKM
15.661346421911242,-0.9787039288848571,FKM
19.860633526813782,-1.030711276098895,FKM
0.9104824105644593,-3.3254713740492354,Poly(acrylic acid)
3.196479780625383,-3.5335134812795905,Poly(acrylic acid)
6.8319435254328535,-3.7917876428057555,Poly(acrylic acid)
9.231854054645458,-3.9414458157077674,Poly(acrylic acid)
19.763189037435772,-4.17164092531468,Poly(acrylic acid)
2,4.007402749167123,PVDF
3,3.873410372746208,PVDF
5,4.251517277596036,PVDF
13,3.8585021321819943,PVDF
19,20.230897882134116,PVDF
