vol% (%),Heat Of Fusion (J/g)
1,3.7534097406541944,Nylon 6T
5,4.447029090241265,Nylon 6T
8,4.79464445906844,Nylon 6T
12,5.952234557294944,Nylon 6T
14,9.229692189080046,Nylon 6T
1,0.044288746520620426,Poly(methyl methacrylate)
5,-0.29897499392572585,Poly(methyl methacrylate)
8,-0.44193788048634186,Poly(methyl methacrylate)
12,-0.4960332893973696,Poly(methyl methacrylate)
14,-0.5109838769044348,Poly(methyl methacrylate)
1,-5.3812650762374625,P(Baph)
5,0.1803564713439636,P(Baph)
8,12.16485170874989,P(Baph)
12,6.956882089109225,P(Baph)
14,92.87275496248056,P(Baph)
1,-0.6719764842795842,P4VP
5,-1.1591798003452054,P4VP
8,-1.2957302026551958,P4VP
12,-1.365337904587363,P4VP
14,-1.3768115559879965,P4VP
1,-1.784419220530674,PTFCE
5,2.369988097779343,PTFCE
8,9.571691209444646,PTFCE
12,53.310359905335055,PTFCE
14,-47.531603655997536,PTFCE
