Tensile Strength (MPa),Tensile Strength (MPa)
8.753844778127483,-7.1206097899016365,0.15% Au/VER
10.354668553648917,-7.142098386667354,0.15% Au/VER
12.278468476466797,-7.157889425432277,0.15% Au/VER
13.390195264292268,-7.162896091226299,0.15% Au/VER
17.72737893762338,-7.177088798803755,0.15% Au/VER
8.753844778127483,-6.90871363141155,0.76% Au/VER
10.354668553648917,-6.865196501124707,0.76% Au/VER
12.278468476466797,-6.985488484492381,0.76% Au/VER
13.390195264292268,-6.998208831490659,0.76% Au/VER
17.72737893762338,-7.082294280712542,0.76% Au/VER
8.753844778127483,17.296236694567874,0.43% Au/VER
10.354668553648917,15.116362983971,0.43% Au/VER
12.278468476466797,24.196516050949356,0.43% Au/VER
13.390195264292268,28.283799041718424,0.43% Au/VER
17.72737893762338,152.79079815102855,0.43% Au/VER
8.753844778127483,5.384865084756391,0.58% Au/VER
10.354668553648917,5.370864185790051,0.58% Au/VER
12.278468476466797,5.308188535645172,0.58% Au/VER
13.390195264292268,5.253372470242518,0.58% Au/VER
17.72737893762338,5.192296200819256,0.58% Au/VER
8.753844778127483,20.18326481292689,0.81% Au/VER
10.354668553648917,36.43953899995934,0.81% Au/VER
12.278468476466797,11.47340778213091,0.81% Au/VER
13.390195264292268,14.89371848054752,0.81% Au/VER
17.72737893762338,187.24047690184616,0.81% Au/VER
