Pore Size (nm),Adhesion Strength (MPa)
2.44289885187132,-7.024699552414105,0.97% calcium copper titanate
5.619199782163564,-5.472069249196065,0.97% calcium copper titanate
10.497384629477992,-7.238177796610425,0.97% calcium copper titanate
16.239529916340253,0.11442404891944946,0.97% calcium copper titanate
18.273730195689964,8.04662582728697,0.97% calcium copper titanate
2.44289885187132,-0.019857389413904636,0.39% calcium copper titanate
5.619199782163564,-0.3288906209647493,0.39% calcium copper titanate
10.497384629477992,-0.4461829372626141,0.39% calcium copper titanate
16.239529916340253,-0.4812801130334809,0.39% calcium copper titanate
18.273730195689964,-0.48496800830880776,0.39% calcium copper titanate
2.44289885187132,6.906518583865695,0.71% calcium copper titanate
5.619199782163564,8.191498142361846,0.71% calcium copper titanate
10.497384629477992,10.919195536986923,0.71% calcium copper titanate
16.239529916340253,14.355831140201373,0.71% calcium copper titanate
18.273730195689964,12.099279429450828,0.71% calcium copper titanate
2.44289885187132,5.017973625875568,0.27% calcium copper titanate
5.619199782163564,6.5762090031043705,0.27% calcium copper titanate
10.497384629477992,18.21100802016779,0.27% calcium copper titanate
16.239529916340253,77.55037169188999,0.27% calcium copper titanate
18.273730195689964,925.8048254566496,0.27% calcium copper titanate
2.44289885187132,3.907622144182232,0.75% calcium copper titanate
5.619199782163564,3.74578306980053,0.75% calcium copper titanate
10.497384629477992,3.567146160857078,0.75% calcium copper titanate
16.239529916340253,3.3463815061272,0.75% calcium copper titanate
18.273730195689964,3.316136845190396,0.75% calcium copper titanate
