Film Thickness (µm),Dielectric Loss
17.22857788584745,121.83072885977847,
17.23035327766578,246.89558579254464,
19.71376524944723,-171.6005669654989,
19.7697571323548,350.0356887004388,
17.22857788584745,10.644616202936351,
17.23035327766578,5.117799585825383,
19.71376524944723,18.16555972252972,
19.7697571323548,5.872369482734271,
17.22857788584745,-5.142664103343767,
17.23035327766578,-5.135124262969648,
19.71376524944723,-5.174757925235213,
19.7697571323548,-5.184143533816995,
17.22857788584745,-1.0823946973894556,
17.23035327766578,-1.086072664861402,
19.71376524944723,-1.123540475778765,
19.7697571323548,-1.1276773565583014,
