wt%,Pore Volume (cm³/g)
5.828448780405213,7.577444215804526,PMMA-PnBA-PMMA
6.870108402323889,7.515527327013562,PMMA-PnBA-PMMA
16.97600035012005,7.207074627143862,PMMA-PnBA-PMMA
5.828448780405213,-1.053451677505358,PBTP
6.870108402323889,-1.096603489965517,PBTP
16.97600035012005,-1.4201849174347778,PBTP
5.828448780405213,-2.0558358027283012,Silicone rubber
6.870108402323889,-2.0938783779493146,Silicone rubber
16.97600035012005,-2.227087190381554,Silicone rubber
5.828448780405213,0.5892565421207108,Nylon 11
6.870108402323889,4.095305852573958,Nylon 11
16.97600035012005,-20.980827223455783,Nylon 11
