Aging Time (h),Tg (°C)
2,5.52741176273865,0.93% Alumina/Polychlorotrifluoroethylene
5,5.432090913376327,0.93% Alumina/Polychlorotrifluoroethylene
6,5.306050722106711,0.93% Alumina/Polychlorotrifluoroethylene
12,5.053420493290611,0.93% Alumina/Polychlorotrifluoroethylene
18,4.905739351120203,0.93% Alumina/Polychlorotrifluoroethylene
2,5.525309542540809,0.05% Alumina/Polychlorotrifluoroethylene
5,9.671899461275853,0.05% Alumina/Polychlorotrifluoroethylene
6,11.974948507209609,0.05% Alumina/Polychlorotrifluoroethylene
12,53.97448388706499,0.05% Alumina/Polychlorotrifluoroethylene
18,26.558149902134417,0.05% Alumina/Polychlorotrifluoroethylene
2,5.613021504837864,0.59% Alumina/Polychlorotrifluoroethylene
5,9.160855708158746,0.59% Alumina/Polychlorotrifluoroethylene
6,10.499788889751425,0.59% Alumina/Polychlorotrifluoroethylene
12,53.94816760480832,0.59% Alumina/Polychlorotrifluoroethylene
18,-95.37135460161112,0.59% Alumina/Polychlorotrifluoroethylene
