Nanoparticle Mass (%),Toughness (MJ/m³)
2.311409779665148,2.2567493800975735,Channel black/IMPP
2.8840505408310557,1.9345684842055406,Channel black/IMPP
10.243644975223454,1.673105441704213,Channel black/IMPP
12.793152840036353,1.5792527706176545,Channel black/IMPP
16.369214445652176,1.4841133311614854,Channel black/IMPP
16.957091195608662,1.4715847728787175,Channel black/IMPP
19.421008743592253,1.4387415211650505,Channel black/IMPP
2.311409779665148,-4.045458588802076,CuPP/IMPP
2.8840505408310557,-3.2687692934240977,CuPP/IMPP
10.243644975223454,-0.005010568101040391,CuPP/IMPP
12.793152840036353,-2.8171458926422908,CuPP/IMPP
16.369214445652176,-1.4999995149576897,CuPP/IMPP
16.957091195608662,-2.3056677078007715,CuPP/IMPP
19.421008743592253,-1.309341616764244,CuPP/IMPP
2.311409779665148,0.1645621022020829,barium strontium titanate/IMPP
2.8840505408310557,0.46710040300170186,barium strontium titanate/IMPP
10.243644975223454,11.420217973076364,barium strontium titanate/IMPP
12.793152840036353,-43.54471645698948,barium strontium titanate/IMPP
16.369214445652176,123.73603900127956,barium strontium titanate/IMPP
16.957091195608662,367.4948784528469,barium strontium titanate/IMPP
19.421008743592253,785.4529133992235,barium strontium titanate/IMPP
2.311409779665148,7.466218690568975,CuPP/IMPP
2.8840505408310557,7.533177710805888,CuPP/IMPP
10.243644975223454,7.171458505564148,CuPP/IMPP
12.793152840036353,7.090656176130014,CuPP/IMPP
16.369214445652176,6.985444429826088,CuPP/IMPP
16.957091195608662,6.979250873465895,CuPP/IMPP
19.421008743592253,6.946318840706072,CuPP/IMPP
