Synthesis Temperature (°C),Shear Modulus (GPa)
0,1.0994427578367505,
1,0.9239038659948026,
2,1.1718838363094386,
17,8.164001007562046,
19,1.1079611621096364,
0,2.89074003668356,
1,3.0907931881188966,
2,2.7353949067979695,
17,2.275236495506499,
19,2.272870189327516,
0,8.942964475060451,
1,8.033430168997262,
2,7.980877901566474,
17,7.544655754056669,
19,7.541594870776984,
0,-1.3691663768428963,
1,-1.194648954522137,
2,-1.4238892577259996,
17,-2.03884885388436,
19,-2.041829315728924,
