Curing Time (min),Fatigue Strength (MPa)
3.424246761528511,9.732094040494783,PnBA
3.461100390707672,8.17169981512351,PnBA
13.267130036600614,43.79296317379634,PnBA
19.01988213809568,674.1716157087368,PnBA
3.424246761528511,1.9546014552355047,PANa
3.461100390707672,1.698655750430198,PANa
13.267130036600614,1.4399754810297232,PANa
19.01988213809568,1.31255041656939,PANa
3.424246761528511,6.50188525096621,PGMA
3.461100390707672,6.872742692460562,PGMA
13.267130036600614,9.349202303355941,PGMA
19.01988213809568,10.889336595201717,PGMA
3.424246761528511,1.925401012002185,Bisphenol E cyanate ester resin
3.461100390707672,3.3660158091806385,Bisphenol E cyanate ester resin
13.267130036600614,65.1706361420062,Bisphenol E cyanate ester resin
19.01988213809568,452.6669096562404,Bisphenol E cyanate ester resin
