Decomposition Temperature (°C),Electric Field Strength (V/m)
6.261518462093758,7.613388194264606,S-EB-S
11.102119803702514,25.47974552267924,S-EB-S
13.22366975692054,47.45142690600942,S-EB-S
15.276305407564015,61.46956357761576,S-EB-S
6.261518462093758,2.9485548545023423,bisphenol-A phthalonitrile resin
11.102119803702514,2.6218167618743093,bisphenol-A phthalonitrile resin
13.22366975692054,7.405880514016403,bisphenol-A phthalonitrile resin
15.276305407564015,5.841598937884134,bisphenol-A phthalonitrile resin
6.261518462093758,0.2587466762079975,Poly(ether ether ketone)
11.102119803702514,-0.17051719994633263,Poly(ether ether ketone)
13.22366975692054,1.5463080521200254,Poly(ether ether ketone)
15.276305407564015,2.2827018114942206,Poly(ether ether ketone)
