Pore Volume (cm³/g),Charge Transfer Resistance (Ω·m²)
2.788473863569896,8.034302014248027,TiO2/P(VDF-CTFE)
9.110680654049922,7.611199039309308,TiO2/P(VDF-CTFE)
9.46873470479864,7.606435771029971,TiO2/P(VDF-CTFE)
12.614627151431623,7.567871446551538,TiO2/P(VDF-CTFE)
15.386442973230604,7.55366038871736,TiO2/P(VDF-CTFE)
17.447550737813803,7.54922250284235,TiO2/P(VDF-CTFE)
2.788473863569896,-6.874109858012973,graphene nanoplatelets/P(VDF-CTFE)
9.110680654049922,-7.164627404685358,graphene nanoplatelets/P(VDF-CTFE)
9.46873470479864,-7.176727948082338,graphene nanoplatelets/P(VDF-CTFE)
12.614627151431623,-7.2089366896075395,graphene nanoplatelets/P(VDF-CTFE)
15.386442973230604,-7.220943363394607,graphene nanoplatelets/P(VDF-CTFE)
17.447550737813803,-7.225171264130188,graphene nanoplatelets/P(VDF-CTFE)
2.788473863569896,0.5049112149008782,OAP-POSS/P(VDF-CTFE)
9.110680654049922,0.1642245007177971,OAP-POSS/P(VDF-CTFE)
9.46873470479864,0.16555411097289852,OAP-POSS/P(VDF-CTFE)
12.614627151431623,0.0440911169945537,OAP-POSS/P(VDF-CTFE)
15.386442973230604,-0.0036730185054244247,OAP-POSS/P(VDF-CTFE)
17.447550737813803,-0.05416636747649356,OAP-POSS/P(VDF-CTFE)
