Dielectric Constant,Electrical Resistivity (Ω·m)
1,5.0171283754136065,0.77% 9-anthracenemethanol/PUR
7,5.617663567979977,0.77% 9-anthracenemethanol/PUR
11,6.257046363334822,0.77% 9-anthracenemethanol/PUR
1,3.8985766630482614,0.69% 9-anthracenemethanol/PUR
7,6.048755421462042,0.69% 9-anthracenemethanol/PUR
11,6.870766920215533,0.69% 9-anthracenemethanol/PUR
1,1.346917311725785,0.58% 9-anthracenemethanol/PUR
7,0.6963398778950405,0.58% 9-anthracenemethanol/PUR
11,0.5974943161035033,0.58% 9-anthracenemethanol/PUR
1,2.1469739166154067,0.94% 9-anthracenemethanol/PUR
7,1.562859807786779,0.94% 9-anthracenemethanol/PUR
11,1.4382060201566718,0.94% 9-anthracenemethanol/PUR
