Mechanical Strength (MPa),Thermal Expansion (1/K)
4,-3.9797222600902904,0.27% Molybdenum Disulphide
13,-4.250489037926535,0.27% Molybdenum Disulphide
17,-4.265587620505763,0.27% Molybdenum Disulphide
6,-1.80894316723227,0.37% Molybdenum Disulphide
17,-2.208077107651593,0.37% Molybdenum Disulphide
18,-2.23237691841457,0.37% Molybdenum Disulphide
2.0956671137092053,-2.12717612156681,0.36% Molybdenum Disulphide
5.644703379136091,-1.1927092756230322,0.36% Molybdenum Disulphide
12.632533462287949,0.9923632912315226,0.36% Molybdenum Disulphide
6.773354862176442,-3.51365886506555,0.77% Molybdenum Disulphide
10.263244688190179,-3.6624645518283803,0.77% Molybdenum Disulphide
13.71891296323806,-3.7636104753315363,0.77% Molybdenum Disulphide
