Glass Transition Temperature (°C),Glass Transition Temperature (°C)
16.514896661634758,-5.363288354126251,
16.580080000966426,-5.349759235582041,
19.270737759871444,-5.407716050610216,
16.514896661634758,-4.140419968246423,
16.580080000966426,-4.140345285873903,
19.270737759871444,-4.144544427795161,
16.514896661634758,11.788419117663643,
16.580080000966426,1.9524779539182484,
19.270737759871444,3.678244349838284,
16.514896661634758,-1.0983829808034709,
16.580080000966426,-1.1038297125870646,
19.270737759871444,-1.151465020465262,
