Solvent Concentration (M),Thermal Stability (°C)
2.7081667060279524,-2.0289436737114643,0.44% cellulose nanocrystals
4.717878272420794,-2.0960410899764876,0.44% cellulose nanocrystals
4.947251505353294,-2.1082730783466834,0.44% cellulose nanocrystals
14.413538014932337,-2.4819681532897517,0.44% cellulose nanocrystals
2.7081667060279524,3.0810801757647215,0.2% cellulose nanocrystals
4.717878272420794,2.8619874207835,0.2% cellulose nanocrystals
4.947251505353294,2.8731064967840423,0.2% cellulose nanocrystals
14.413538014932337,2.5134072947087716,0.2% cellulose nanocrystals
2.7081667060279524,0.4325095854685648,0.3% cellulose nanocrystals
4.717878272420794,1.8932924608001986,0.3% cellulose nanocrystals
4.947251505353294,-0.17386386175862212,0.3% cellulose nanocrystals
14.413538014932337,-22.24058119448751,0.3% cellulose nanocrystals
2.7081667060279524,-7.419459182248001,0.41% cellulose nanocrystals
4.717878272420794,-7.722306283503649,0.41% cellulose nanocrystals
4.947251505353294,-7.619481450824346,0.41% cellulose nanocrystals
14.413538014932337,-7.879369037173901,0.41% cellulose nanocrystals
