Calcination Time (h),Poisson’s Ratio
4.711330845449043,-3.0389821119073073,Poly(styrene-b-butadiene)
6.290463129923953,-3.125477494083721,Poly(styrene-b-butadiene)
14.916917761669797,-3.263239285399401,Poly(styrene-b-butadiene)
16.574314806778546,-3.2682127375757233,Poly(styrene-b-butadiene)
4.711330845449043,-3.6813139544932363,bisphenol-A phthalonitrile resin
6.290463129923953,-3.1691471988041044,bisphenol-A phthalonitrile resin
14.916917761669797,3.762229201291797,bisphenol-A phthalonitrile resin
16.574314806778546,-2.4210377628977486,bisphenol-A phthalonitrile resin
4.711330845449043,-1.3906612024770393,Polyurethane
6.290463129923953,-1.4856307937967006,Polyurethane
14.916917761669797,-1.7792751932667343,Polyurethane
16.574314806778546,-1.801268330458081,Polyurethane
