Thickness (µm),Electrochemical Potential (V)
2,0.1678983410801147,CCTO ceramics/PVAL
3,0.44542856354109706,CCTO ceramics/PVAL
5,-0.09512256490150328,CCTO ceramics/PVAL
10,2.5069046321765165,CCTO ceramics/PVAL
11,1.5434610777204099,CCTO ceramics/PVAL
15,3.6629623358367756,CCTO ceramics/PVAL
18,14.24655957580579,CCTO ceramics/PVAL
2,8.441395490893676,Cellulose/PVAL
3,8.435963499490121,Cellulose/PVAL
5,9.367447062493117,Cellulose/PVAL
10,12.566879047365886,Cellulose/PVAL
11,10.603896273169488,Cellulose/PVAL
15,7.812154203863042,Cellulose/PVAL
18,0.7399209747323328,Cellulose/PVAL
2,0.30649723477884994,graphene nanoribbon/PVAL
3,0.16406477408813186,graphene nanoribbon/PVAL
5,-0.010232344154807727,graphene nanoribbon/PVAL
10,-0.17336695969432325,graphene nanoribbon/PVAL
11,-0.18613207815635247,graphene nanoribbon/PVAL
15,-0.21352969637579972,graphene nanoribbon/PVAL
18,-0.2203729632744254,graphene nanoribbon/PVAL
