Crystallinity (%),Peel Strength (N/m)
0.7696475106647171,1.9697080387429557,0.79% Bentonite/PMMA-PtBA
6.361934447255974,12.134503816963992,0.79% Bentonite/PMMA-PtBA
12.949135179794338,0.11968022157187264,0.79% Bentonite/PMMA-PtBA
18.32909136514168,50.8091915243979,0.79% Bentonite/PMMA-PtBA
1,7.020456374328524,0.83% Bentonite/PMMA-PtBA
5,6.681225188554459,0.83% Bentonite/PMMA-PtBA
9,6.495522220631924,0.83% Bentonite/PMMA-PtBA
15,6.285380009282915,0.83% Bentonite/PMMA-PtBA
1.8014361775139909,5.96760156243899,0.55% Bentonite/PMMA-PtBA
2.2060118345913526,5.971318046916538,0.55% Bentonite/PMMA-PtBA
4.873423998742396,5.970148176574802,0.55% Bentonite/PMMA-PtBA
17.518281376112668,5.499148842741934,0.55% Bentonite/PMMA-PtBA
0.502970293068572,0.8394767822889626,0.41% Bentonite/PMMA-PtBA
17.560073015328253,-0.10772318100106848,0.41% Bentonite/PMMA-PtBA
19.633265121996054,-0.1445900290688168,0.41% Bentonite/PMMA-PtBA
19.789187495927557,-0.1426304936844185,0.41% Bentonite/PMMA-PtBA
