Holding Time (min),Electrical Conductivity (S/m)
2,-0.0028836578817275083,PMS
6,4.759471463016763,PMS
9,24.563306522024163,PMS
10,20.977422634769503,PMS
12,34.55952911315977,PMS
2,0.5436317665665245,EPDM
6,-0.002912714372084152,EPDM
9,-0.0851974583402828,EPDM
10,-0.11011373058494588,EPDM
12,-0.12379243659439887,EPDM
2,1.2709956406615492,PET
6,1.0199553321376167,PET
9,0.9017012239571912,PET
10,0.8941524023998357,PET
12,0.864503166759494,PET
2,2.6549408620165638,PVA
6,2.4001272225288734,PVA
9,2.3149858585436784,PVA
10,2.3014181663998987,PVA
12,2.1478563622559115,PVA
2,4.396769301164348,Poly(2-hydroxyethyl acrylate)
6,4.111679038191368,Poly(2-hydroxyethyl acrylate)
9,4.010383861223523,Poly(2-hydroxyethyl acrylate)
10,3.9372857637197947,Poly(2-hydroxyethyl acrylate)
12,3.9194006539561443,Poly(2-hydroxyethyl acrylate)
