Gamma Radiation Dose (Gy),Heat Of Fusion (J/g)
7.293716607090939,6.101211910616351,ABS
11.703243844739266,5.887269591170127,ABS
15.954932203639075,5.7846375437609705,ABS
7.293716607090939,6.39530721459441,PMMA
11.703243844739266,6.299339864703192,PMMA
15.954932203639075,6.278926946769246,PMMA
7.293716607090939,4.3467551661595305,Epoxy novolac viny ester resin
11.703243844739266,4.266824172388603,Epoxy novolac viny ester resin
15.954932203639075,4.244805314764724,Epoxy novolac viny ester resin
7.293716607090939,1.85887374011535,Nylon 6(3)T
11.703243844739266,1.6499436505668668,Nylon 6(3)T
15.954932203639075,1.5398929746848486,Nylon 6(3)T
