UV Exposure Time (h),Poisson’s Ratio
7.363954902130175,9.650503140443366,0.55% Acetylene black/DGEBF Epoxy Resin
12.261578750569273,10.295629958458129,0.55% Acetylene black/DGEBF Epoxy Resin
13.429503272488642,5.650636899443431,0.55% Acetylene black/DGEBF Epoxy Resin
19.687705684267677,14.861866508521906,0.55% Acetylene black/DGEBF Epoxy Resin
19.79420594494052,10.29179892679948,0.55% Acetylene black/DGEBF Epoxy Resin
7.363954902130175,4.4794859440951456,0.3% Acetylene black/DGEBF Epoxy Resin
12.261578750569273,4.248016887209612,0.3% Acetylene black/DGEBF Epoxy Resin
13.429503272488642,4.230260839032275,0.3% Acetylene black/DGEBF Epoxy Resin
19.687705684267677,4.09782917986219,0.3% Acetylene black/DGEBF Epoxy Resin
19.79420594494052,4.089011394716962,0.3% Acetylene black/DGEBF Epoxy Resin
7.363954902130175,2.3493648777899834,0.25% Acetylene black/DGEBF Epoxy Resin
12.261578750569273,2.189062136597538,0.25% Acetylene black/DGEBF Epoxy Resin
13.429503272488642,2.16384696504955,0.25% Acetylene black/DGEBF Epoxy Resin
19.687705684267677,2.0473968982393873,0.25% Acetylene black/DGEBF Epoxy Resin
19.79420594494052,2.053411407330144,0.25% Acetylene black/DGEBF Epoxy Resin
7.363954902130175,6.030724555802646,0.93% Acetylene black/DGEBF Epoxy Resin
12.261578750569273,0.4860261536308723,0.93% Acetylene black/DGEBF Epoxy Resin
13.429503272488642,19.254503281099346,0.93% Acetylene black/DGEBF Epoxy Resin
19.687705684267677,-601.1681529946287,0.93% Acetylene black/DGEBF Epoxy Resin
19.79420594494052,-450.0810196249668,0.93% Acetylene black/DGEBF Epoxy Resin
7.363954902130175,-2.714484293168433,0.17% Acetylene black/DGEBF Epoxy Resin
12.261578750569273,-2.873603840260824,0.17% Acetylene black/DGEBF Epoxy Resin
13.429503272488642,-2.946479967861206,0.17% Acetylene black/DGEBF Epoxy Resin
19.687705684267677,-3.0717474854511564,0.17% Acetylene black/DGEBF Epoxy Resin
19.79420594494052,-3.076921258517604,0.17% Acetylene black/DGEBF Epoxy Resin
