Particle Diameter (nm),Shear Strength (MPa)
3.031673959554082,0.4507038953984769,PMS
5.304055430632637,0.3488318293621979,PMS
17.727820168564964,0.10715121054394251,PMS
3.031673959554082,6.1909321536621436,Sodium polyacrylate
5.304055430632637,5.969702889222069,Sodium polyacrylate
17.727820168564964,-6.812681429826672,Sodium polyacrylate
3.031673959554082,-0.6692294614518988,PA 11
5.304055430632637,-0.9121928040230057,PA 11
17.727820168564964,-1.2256911406928999,PA 11
3.031673959554082,4.833508715704541,Bisphenol E cyanate ester resin
5.304055430632637,8.063111022499408,Bisphenol E cyanate ester resin
17.727820168564964,147.26592248170348,Bisphenol E cyanate ester resin
