Crystallization Temperature (°C),Thermal Conductivity (W/(m·K))
9.91136498178669,7.262883721073999,0.11% Alumina
10.153608651016084,7.328122229761309,0.11% Alumina
14.128765655651849,7.1792434762821875,0.11% Alumina
16.380432090608153,7.118335746332745,0.11% Alumina
18.489562806605548,7.087669834515248,0.11% Alumina
9.91136498178669,-7.354069827515624,0.25% Alumina
10.153608651016084,-7.362844708720952,0.25% Alumina
14.128765655651849,-7.4900817928804075,0.25% Alumina
16.380432090608153,-7.507152543969976,0.25% Alumina
18.489562806605548,-7.559836725366025,0.25% Alumina
9.91136498178669,-1.3882175704988655,0.69% Alumina
10.153608651016084,-1.3860173981613078,0.69% Alumina
14.128765655651849,-1.5386428233764884,0.69% Alumina
16.380432090608153,-1.589638726720629,0.69% Alumina
18.489562806605548,-1.6161478469822779,0.69% Alumina
