Electric Field (V/m),Hardness (HV)
0,0.3219923798192992,Nylon 6
1,0.25901044452458444,Nylon 6
6,-0.4656952729020686,Nylon 6
13,-0.5784052707785443,Nylon 6
0,4.915052144051626,PVP
1,4.912415608399393,PVP
6,4.462082736369705,PVP
13,4.32672820134452,PVP
0,-5.419491960901994,Acrylonitrile butadiene styrene
1,-4.515637600274071,Acrylonitrile butadiene styrene
6,-1.6411935321719602,Acrylonitrile butadiene styrene
13,69.04719677145438,Acrylonitrile butadiene styrene
0,2.256347718083796,Nylon 6
1,1.8910133537155522,Nylon 6
6,1.3428216218414262,Nylon 6
13,1.2025888912183078,Nylon 6
