EV (V),Electronic Conductivity (S/m)
1,4.804391998641897,graphite oxide/PB-1
3,4.286849366731382,graphite oxide/PB-1
8,4.105948372954767,graphite oxide/PB-1
9,4.069173131983443,graphite oxide/PB-1
11,4.047370469968123,graphite oxide/PB-1
13,4.031262408412856,graphite oxide/PB-1
17,4.016583630538219,graphite oxide/PB-1
1,-1.4446611765028763,Fullerene/PB-1
3,-2.039087389586383,Fullerene/PB-1
8,-2.2913371496552637,Fullerene/PB-1
9,-2.308114747771858,Fullerene/PB-1
11,-2.3394989390547805,Fullerene/PB-1
13,-2.3553433400867068,Fullerene/PB-1
17,-2.370262021887073,Fullerene/PB-1
1,-2.1907264833828064,Morrocan montmorillonite/PB-1
3,-2.377428228468779,Morrocan montmorillonite/PB-1
8,-2.6834718284917773,Morrocan montmorillonite/PB-1
9,-2.680579642700085,Morrocan montmorillonite/PB-1
11,-2.7274512647849627,Morrocan montmorillonite/PB-1
13,-2.7949513776310044,Morrocan montmorillonite/PB-1
17,-2.89341645646929,Morrocan montmorillonite/PB-1
1,5.104165175341999,Poly(acrylonitrile)/PB-1
3,5.3041334144137355,Poly(acrylonitrile)/PB-1
8,14.216537584969263,Poly(acrylonitrile)/PB-1
9,22.71720763042235,Poly(acrylonitrile)/PB-1
11,15.340097202645987,Poly(acrylonitrile)/PB-1
13,48.72619321037368,Poly(acrylonitrile)/PB-1
17,-86.92301068616212,Poly(acrylonitrile)/PB-1
1,2.9680416814769446,nanosilica/PB-1
3,2.8233834337340773,nanosilica/PB-1
8,2.34807878794366,nanosilica/PB-1
9,2.3333785750311287,nanosilica/PB-1
11,2.2586052056286783,nanosilica/PB-1
13,2.225768347505653,nanosilica/PB-1
17,2.1228548891263817,nanosilica/PB-1
