Pore Size (nm),Pore Size (nm)
2.1544089931688792,5.06542939971923,nanosilica/Poly(butylene terephthalate)
7.332675517705647,4.681112685401665,nanosilica/Poly(butylene terephthalate)
14.61028644949754,4.411784616539804,nanosilica/Poly(butylene terephthalate)
16.071371869439705,4.388650026889402,nanosilica/Poly(butylene terephthalate)
0,2.275372753800374,White spirits/Poly(butylene terephthalate)
2,1.8481887711785707,White spirits/Poly(butylene terephthalate)
5,1.51258852176046,White spirits/Poly(butylene terephthalate)
9,1.3414393752869884,White spirits/Poly(butylene terephthalate)
2,-5.693670246420231,9-anthracenemethanol/Poly(butylene terephthalate)
4,-2.8469138573115824,9-anthracenemethanol/Poly(butylene terephthalate)
7,3.934219107555446,9-anthracenemethanol/Poly(butylene terephthalate)
16,110.50737204917584,9-anthracenemethanol/Poly(butylene terephthalate)
7,1.6384943044040483,Silicon dioxide/Poly(butylene terephthalate)
12,1.577183460615247,Silicon dioxide/Poly(butylene terephthalate)
13,1.5703359558761252,Silicon dioxide/Poly(butylene terephthalate)
17,1.5552122738690608,Silicon dioxide/Poly(butylene terephthalate)
1.9656927639845923,-6.36399879615083,Graphene/Poly(butylene terephthalate)
10.105788800295837,-8.086988147203986,Graphene/Poly(butylene terephthalate)
10.580245363978092,-3.5966281755943843,Graphene/Poly(butylene terephthalate)
16.278533097878945,-5.484873784116034,Graphene/Poly(butylene terephthalate)
