Reaction Time (h),Melting Temperature (°C)
1.8328299004516002,6.8429667120574065,
3.9498208299510496,9.974250778979584,
4.799172223965655,9.419058204786165,
5.893071653242716,9.70976703404169,
6.243875537476981,8.150516295069288,
1.8328299004516002,2.104674733915282,
3.9498208299510496,1.9277970061092828,
4.799172223965655,1.856572388036788,
5.893071653242716,1.8101883535560623,
6.243875537476981,1.7592262211554737,
1.8328299004516002,7.78889215030897,
3.9498208299510496,7.60712067321164,
4.799172223965655,7.456264192846534,
5.893071653242716,7.454142825686708,
6.243875537476981,7.396694956330817,
1.8328299004516002,8.738932396758733,
3.9498208299510496,8.281544149531925,
4.799172223965655,8.236961026863609,
5.893071653242716,9.522473335898168,
6.243875537476981,8.655946446152667,
1.8328299004516002,-7.127193560518807,
3.9498208299510496,-5.936736279872412,
4.799172223965655,-6.415063402664696,
5.893071653242716,-6.3877164172302585,
6.243875537476981,-6.153498670092338,
