Time (s),Thermal Conductivity (W/(m·K))
2.5345900949644085,0.04131302103820195,0.77% silicon dioxide
6.117895012176788,-0.27212989954900024,0.77% silicon dioxide
15.532494740388703,-0.42649013124200674,0.77% silicon dioxide
16.323298171691835,-0.42796637597662274,0.77% silicon dioxide
18.74848237026836,-0.4317678418234712,0.77% silicon dioxide
19.35364185031397,-0.4323823753492144,0.77% silicon dioxide
1,3.9613318875574732,0.42% silicon dioxide
7,3.4493608638502424,0.42% silicon dioxide
13,3.3701444655479915,0.42% silicon dioxide
15,3.3608440780640776,0.42% silicon dioxide
18,3.353970616891314,0.42% silicon dioxide
19,3.3529030956440384,0.42% silicon dioxide
