Annealing Temperature (°C),Coercivity (A/m)
3.8002449536364136,2.167655370336232,P(VDF-HFP)
6.633347076454623,2.0356590126925136,P(VDF-HFP)
12.203001891241279,1.9138261390050504,P(VDF-HFP)
13.548409455758563,1.9046532576827002,P(VDF-HFP)
18.885527324162094,1.8901376438841238,P(VDF-HFP)
3.8002449536364136,-3.7520097626848345,PPSF
6.633347076454623,-3.9742652759133392,PPSF
12.203001891241279,-4.09732951814327,PPSF
13.548409455758563,-4.104167402106249,PPSF
18.885527324162094,-4.117505885563784,PPSF
