Ultrasound Time (min),Crystallinity (%)
5,-4.231122023171504,0.03% MgO/PVDF
11,-4.510846202074042,0.03% MgO/PVDF
12,-4.562258108523333,0.03% MgO/PVDF
13,-4.56737262337546,0.03% MgO/PVDF
15,-4.622502572324471,0.03% MgO/PVDF
5,5.378169118240465,0.83% MgO/PVDF
11,5.211206261058654,0.83% MgO/PVDF
12,5.174326646868898,0.83% MgO/PVDF
13,5.1234246597879345,0.83% MgO/PVDF
15,5.119630160745541,0.83% MgO/PVDF
5,-6.7027396816638305,0.71% MgO/PVDF
11,-7.032155493050688,0.71% MgO/PVDF
12,-7.134511930362172,0.71% MgO/PVDF
13,-7.115868220710659,0.71% MgO/PVDF
15,-7.185593852938116,0.71% MgO/PVDF
5,3.5449316951134975,0.42% MgO/PVDF
11,3.1395299907590704,0.42% MgO/PVDF
12,3.151092084598208,0.42% MgO/PVDF
13,3.116055913591986,0.42% MgO/PVDF
15,3.0618041470025923,0.42% MgO/PVDF
5,-5.061232406064587,0.69% MgO/PVDF
11,-6.935384038053159,0.69% MgO/PVDF
12,-4.909440267301928,0.69% MgO/PVDF
13,-6.448254408267093,0.69% MgO/PVDF
15,3.064297486265774,0.69% MgO/PVDF
