Time (s),Specific Viscosity
11.009006783826154,24.647358328571848,PAI
12.853469134548462,37.42835339599261,PAI
15.91978244781053,82.94350124861285,PAI
17.41169878362385,-151.88314106585662,PAI
2.4227443999174536,8.06147771493655,PαMS
4.471003650244089,7.991592576987056,PαMS
4.5958680760658215,8.177081024730454,PαMS
12.7425025863763,7.641390757346153,PαMS
9.629213253182883,-4.8712336070416455,PLA
11.135966605504033,-3.2669829426224504,PLA
11.284244942076647,-2.7537281261063655,PLA
16.312044292378346,3.1806228216712196,PLA
4,-0.27971152246894804,SAN24
5,-0.5258207344844111,SAN24
9,-0.634880009974423,SAN24
17,-0.9042569218302181,SAN24
