Particle Diameter (nm),Coercivity (A/m)
0.9159486345095469,3.9607204900574695,graphene/Polyurethane
11.776371552186568,19.653986231015537,graphene/Polyurethane
12.398065608642252,56.350048621314386,graphene/Polyurethane
13.269909673380862,30.691600776354797,graphene/Polyurethane
4.968500970842246,9.8699994435611,graphene platelet/Polyurethane
9.4167833210744,11.050702998248912,graphene platelet/Polyurethane
11.791984143064852,35.21511479194216,graphene platelet/Polyurethane
14.156384498047817,129.3263855660709,graphene platelet/Polyurethane
0,-3.6785638481518075,TiO2/Polyurethane
8,5.790725995594267,TiO2/Polyurethane
12,1.65437229194076,TiO2/Polyurethane
13,93.58325887601316,TiO2/Polyurethane
0,7.187876660273718,FeO/Polyurethane
10,6.6077380461086275,FeO/Polyurethane
15,6.565868654178554,FeO/Polyurethane
16,6.562627290308773,FeO/Polyurethane
