Hardness (HV),Degradation Temperature (°C)
0.8648797297664657,-5.097376829296084,0.56% cellulose nanowhiskers
4.495680945765599,-4.360975481632115,0.56% cellulose nanowhiskers
11.41602911673439,-3.567590416503263,0.56% cellulose nanowhiskers
11.687595748093166,-4.4396078371456476,0.56% cellulose nanowhiskers
13.060008293431292,-2.5818242908697138,0.56% cellulose nanowhiskers
0.8648797297664657,-1.134540642112491,0.33% cellulose nanowhiskers
4.495680945765599,-1.2616540175994762,0.33% cellulose nanowhiskers
11.41602911673439,-1.5041095838093825,0.33% cellulose nanowhiskers
11.687595748093166,-1.4962615880802743,0.33% cellulose nanowhiskers
13.060008293431292,-1.5843273303869174,0.33% cellulose nanowhiskers
