Glass Transition Temperature (°C),Zeta Potential (mV)
5,-5.446847083167338,0.84% Montmorillonite
8,-5.556185370210848,0.84% Montmorillonite
9,-5.55075962730152,0.84% Montmorillonite
5,-2.052743893188702,0.12% Montmorillonite
8,-1.5683529158241614,0.12% Montmorillonite
16,-3.9960486392918195,0.12% Montmorillonite
4.131629160910936,0.3055181450843806,0.35% Montmorillonite
5.902574044530937,0.25746618886638706,0.35% Montmorillonite
19.098626157058444,-0.15063675737187135,0.35% Montmorillonite
8.071172893889004,3.5439560751824306,0.76% Montmorillonite
11.440025292934182,3.4917808794088194,0.76% Montmorillonite
14.430614492337233,3.472623474877439,0.76% Montmorillonite
