Nanoparticle Volume (%),Impact Strength (kJ/m²)
6,5.652223043642426,Alumina/IMPP
16,287.5124967050693,Alumina/IMPP
18,404.85824403642664,Alumina/IMPP
6,1.8130987706558965,Na2TiO3/IMPP
16,1.6993120163703241,Na2TiO3/IMPP
18,1.6955594369968756,Na2TiO3/IMPP
6,0.12233306981244119,Graphene oxide/IMPP
16,2.6588534641131414,Graphene oxide/IMPP
18,7.254361445820937,Graphene oxide/IMPP
6,6.357189112812803,Na2TiO3/IMPP
16,151.35330266788912,Na2TiO3/IMPP
18,111.42246282441884,Na2TiO3/IMPP
6,-7.4700685682879016,nanosilica/IMPP
16,-7.644219632886462,nanosilica/IMPP
18,-7.6476131571238435,nanosilica/IMPP
