Aging Temperature (°C),Polarization Resistance (Ω·m²)
0.4487819888160449,-3.339965785404689,Reduced graphene oxide/PEKK
9.709642093393231,-3.848420829877891,Reduced graphene oxide/PEKK
11.421067700320542,-3.8829861447508143,Reduced graphene oxide/PEKK
12.863009150832621,-3.9447481786757805,Reduced graphene oxide/PEKK
18.941495086603993,-4.064730145994411,Reduced graphene oxide/PEKK
0.4487819888160449,-3.8632324250942043,Dodecylbenzenesulfonic acid/PEKK
9.709642093393231,-5.069838662313908,Dodecylbenzenesulfonic acid/PEKK
11.421067700320542,-5.086015029856526,Dodecylbenzenesulfonic acid/PEKK
12.863009150832621,-5.102005132167514,Dodecylbenzenesulfonic acid/PEKK
18.941495086603993,-5.117511247923196,Dodecylbenzenesulfonic acid/PEKK
0.4487819888160449,1.3671647838739043,Cloisite/PEKK
9.709642093393231,1.0114639006045385,Cloisite/PEKK
11.421067700320542,0.9127357295246051,Cloisite/PEKK
12.863009150832621,0.8599479592250754,Cloisite/PEKK
18.941495086603993,0.7577211799368001,Cloisite/PEKK
0.4487819888160449,-4.767081809894275,SiC powder/PEKK
9.709642093393231,-1.4782297630833785,SiC powder/PEKK
11.421067700320542,-3.3370118559126314,SiC powder/PEKK
12.863009150832621,-3.2507248460157907,SiC powder/PEKK
18.941495086603993,9.62057736844664,SiC powder/PEKK
0.4487819888160449,5.0234532170639685,graphene platelet/PEKK
9.709642093393231,30.241853310193278,graphene platelet/PEKK
11.421067700320542,30.549279580672106,graphene platelet/PEKK
12.863009150832621,39.83325722608501,graphene platelet/PEKK
18.941495086603993,200.53943125235995,graphene platelet/PEKK
