Dispersing Time (min),Crystallization Temperature (°C)
7,0.16826476652872913,0.07% Multi-wall carbon nanotubes
11,-0.9530414340282916,0.07% Multi-wall carbon nanotubes
13,1.4963659882341895,0.07% Multi-wall carbon nanotubes
16,8.800951774923528,0.07% Multi-wall carbon nanotubes
7,5.110019613017878,0.35% Multi-wall carbon nanotubes
11,5.013432820206994,0.35% Multi-wall carbon nanotubes
13,4.943702747204262,0.35% Multi-wall carbon nanotubes
16,4.909766095176295,0.35% Multi-wall carbon nanotubes
7,11.540230388029842,0.14% Multi-wall carbon nanotubes
11,13.675894187781331,0.14% Multi-wall carbon nanotubes
13,73.92384060895381,0.14% Multi-wall carbon nanotubes
16,163.3791444548535,0.14% Multi-wall carbon nanotubes
