Annealing Temperature (°C),Magnetic Susceptibility
2,7.92308616303011,MWCNTs/Poly(styrene-co-acrylonitrile)
6,7.547932164352015,MWCNTs/Poly(styrene-co-acrylonitrile)
11,10.812147824676218,MWCNTs/Poly(styrene-co-acrylonitrile)
17,7.023122814545201,MWCNTs/Poly(styrene-co-acrylonitrile)
6,4.3296882621248125,OFG/Poly(styrene-co-acrylonitrile)
7,4.340368290522595,OFG/Poly(styrene-co-acrylonitrile)
10,4.120723753588884,OFG/Poly(styrene-co-acrylonitrile)
12,4.079019018754306,OFG/Poly(styrene-co-acrylonitrile)
3,1.747769538686546,graphite nanoplates/Poly(styrene-co-acrylonitrile)
4,2.701323482998633,graphite nanoplates/Poly(styrene-co-acrylonitrile)
18,453.06302704433034,graphite nanoplates/Poly(styrene-co-acrylonitrile)
19,803.9058187685425,graphite nanoplates/Poly(styrene-co-acrylonitrile)
