Mixing Time (min),Saturation Magnetization (A/m)
0.30071774933225104,-1.7810382808988994,0.11% TiNTs/EPDM
1.5495979662446069,-2.2357427467404434,0.11% TiNTs/EPDM
7.970869488399597,-2.5043526290129225,0.11% TiNTs/EPDM
15.881655046840514,-2.771081055797849,0.11% TiNTs/EPDM
18.78712838223706,-2.8283773338040925,0.11% TiNTs/EPDM
0.30071774933225104,1.962899940176715,0.64% TiNTs/EPDM
1.5495979662446069,1.7927011380556939,0.64% TiNTs/EPDM
7.970869488399597,1.4370047174571432,0.64% TiNTs/EPDM
15.881655046840514,1.2150387295660172,0.64% TiNTs/EPDM
18.78712838223706,1.1564041215430882,0.64% TiNTs/EPDM
0.30071774933225104,-4.585427594161524,0.48% TiNTs/EPDM
1.5495979662446069,-5.042815551362067,0.48% TiNTs/EPDM
7.970869488399597,-3.6147951919221972,0.48% TiNTs/EPDM
15.881655046840514,-0.8590233697948326,0.48% TiNTs/EPDM
18.78712838223706,-1.7364214166845091,0.48% TiNTs/EPDM
0.30071774933225104,-2.6172375672123245,0.73% TiNTs/EPDM
1.5495979662446069,-3.0095112968621685,0.73% TiNTs/EPDM
7.970869488399597,-3.5136932145901754,0.73% TiNTs/EPDM
15.881655046840514,-3.5858371360263575,0.73% TiNTs/EPDM
18.78712838223706,-3.590575695868333,0.73% TiNTs/EPDM
0.30071774933225104,5.258206939150868,0.12% TiNTs/EPDM
1.5495979662446069,4.950794843411439,0.12% TiNTs/EPDM
7.970869488399597,4.577940409408547,0.12% TiNTs/EPDM
15.881655046840514,4.3220988216094405,0.12% TiNTs/EPDM
18.78712838223706,4.2695812912968085,0.12% TiNTs/EPDM
