Curing Time (min),Zero-shear Viscosity (Pa·s)
1.2555557502318404,1.136117378137667,0.57% PbS
5.440851343385457,7.037953538591628,0.57% PbS
6.509854470624157,9.089106971673514,0.57% PbS
6.880734962236163,10.64095434701,0.57% PbS
8.65914040671094,18.313624119958625,0.57% PbS
15.747050354350451,7.531763568427303,0.57% PbS
16.62087531139806,115.29936722195795,0.57% PbS
1.2555557502318404,1.3259903591453266,0.63% PbS
5.440851343385457,7.412237721159205,0.63% PbS
6.509854470624157,10.253271365643394,0.63% PbS
6.880734962236163,5.407367879150021,0.63% PbS
8.65914040671094,12.75790538795831,0.63% PbS
15.747050354350451,52.32070164047005,0.63% PbS
16.62087531139806,234.2356795634277,0.63% PbS
